Cities,Latitute,Longitude
AGATTI ISLAND,10.824,72.176
AGARTALA,23.887,91.24
AGRA,27.156,77.961
AHMEDABAD,23.077,72.635
LENGPUI,23.841,92.62
ALLAHABAD,25.44,81.734
AMRITSAR,31.71,74.797
AURANGABAD,19.863,75.398
BAGDOGRA,26.681,88.329
BANGALORE,12.95,77.668
BELGAUM,15.859,74.618
BHOPAL,23.287,77.337
BHUBANESHWAR,20.244,85.818
BHUJ,23.288,69.67
CALICUT,11.137,75.955
CARNICOBAR,9.153,92.82
CHANDIGARH,30.673,76.789
TAMBARAM,12.907,80.122
COCHIN,9.947,76.273
COIMBATORE,11.03,77.043
CUDDAPAH,14.51,78.773
DEHRADUN,30.19,78.18
DELHI,28.567,77.103
KANGRA,32.165,76.263
DIBRUGARH,27.484,95.017
DIMAPUR,25.884,93.771
DIU,20.713,70.921
KAZI NAZRUL ISLAM AIRPORT,23.622,87.243
GAYA,24.744,84.951
GOA,15.381,73.831
GORAKHPUR,26.74,83.45
GUWAHATI INTL,26.106,91.586
GWALIOR,26.293,78.228
HUBLI,15.362,75.085
HYDERABAD,17.453,78.468
IMPHAL,24.76,93.897
DEVI AHILYABAI HOLKAR,22.722,75.801
JABALPUR,23.178,80.052
JAIPUR,26.824,75.812
JAMMU,32.689,74.837
JAMNAGAR,22.466,70.013
JODHPUR,26.251,73.049
JORHAT,26.732,94.176
KHAJURAHO,24.817,79.919
NETAJI SUBHASH CHANDRA BOSE INTL,22.655,88.447
KULLU MANALI,31.877,77.154
LEH,34.1425054,77.5535329
LILABARI,27.295,94.098
LUCKNOW,26.761,80.889
MADURAI,9.835,78.093
MANGALORE,12.961,74.89
CHHATRAPATI SHIVAJI INTL,19.089,72.868
DR AMBEDKAR INTL,21.092,79.047
PANTNAGAR,29.033,79.474
PATNA,25.591,85.088
PONDICHERRY,11.969,79.81
PORT BLAIR,11.641,92.73
PUNE,18.582,73.92
RAIPUR,21.18,81.739
RAJAHMUNDRY,17.11,81.818
RAJKOT,22.309,70.78
SALEM,11.78,78.06
SHILLONG,25.7,91.97
SHIRDI,19.69,74.39
SILCHAR,24.913,92.979
SIMLA,31.08,77.06
SRINAGAR,33.987,74.774
SURAT,21.114,72.742
TEZPUR,26.709,92.785
THOISE,34.653,77.376
TIRUCHIRAPALLY,10.765,78.71
TIRUPATI,13.632,79.543
TRIVANDRUM,8.482,76.92
TUTICORIN,8.724,78.026
UDAIPUR,24.618,73.896
VADODARA,22.336,73.226
VARANASI,25.452,82.859
VIDYANAGAR,15.17,76.62
VIJAYAWADA,16.53,80.797
VISHAKHAPATNAM,17.721,83.224
,,
,,
,,
,,
BIRSA MUNDA,23.314,85.322
BARAPANI,25.704,91.979
